Name,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,Japanese VA,Funi English VA,Residence,Epithet,Age,Height,Blood Type,Bounty,Odex English VA,4Kids English VA,Origin,Alias,Real name,English Name,Type,Meaning,Size,Weight,First Appearance.1,Age at Death,Zombie Number,First appearance,Region,Gladiator Number,Features,Literal Meaning,Captain,Total Bounty,CP9 key,Affiliation,Completion Date,Affiliates
Karasu,カラス,Karasu,Karasu,Chapter 593; Episode 510[1],Revolutionary Army (North Army)[2],North Army Commander of the Revolutionary Army[2],Alive,September 18th[3],,,,,45 (debut)47 (after timeskip)[3],"265 cm (8'8"")[3]",S[3],,,,North Blue[3],,,,,,,,,,,,,,,,,,,,,
Karma,カルマ,Karuma,Karma,Chapter 553; Episode 467[1],Takotopus Pirates; Whitebeard Pirates[1],Pirate; Captain[1],Alive,June 6th[2],,,,,Over 30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karoo,カルー,Karū,"Karoo (Viz, 4Kids, Funimation);Kalu (Odex)",Chapter 109; Episode 65[1],"Super Spot-Billed Duck Troops, Nefertari Vivi,[1] Straw Hat Pirates (former), Baroque Works (former)",Pet; Royal Transport; Captain of the Super Spot-Billed Duck Troops; Pirate (former),Alive,November 8th[3],,,Arabasta Kingdom (Alubarna),,14 (debut)16 (after timeskip)[2],"150 cm (4'11"")[2]",F[2],,,,Grand Line (Arabasta Kingdom)[2],,,,,,,,,,,,,,,,,,,,,
Kasa,カサ,Kasa,Kasa,Chapter 594; Episode 511[1],Raijin Island,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasagoba,カサゴバ,Kasagoba,Kasagon,Chapter 607; Episode 527[1],New Fish-Man Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashigami,カシ神,Kashigami,Kashigami,Chapter 287; Episode 187[1],Shandia,,Deceased,November 4th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashii,カーシー,Kāshī,Kashii[1],Chapter 377; Episode 265[2],"World Government[2] (defected[3]), Giant Warrior Pirates[4]","Pirate,[4] Gate Guardian[2] (former[3])",Alive,April 1st[5],,,ElbafWater 7,,154 (debut)156 (after timeskip)[6],"1700 cm (55'9"")[6]",X[6],,,,Grand Line (Elbaf)[6],,,,,,,,,,,,,,,,,,,,,
Katsuzo,勝ぞう,Katsuzō,Katsuzo,Chapter 960; Episode 960[1],,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawamatsu,河松,Kawamatsu,Kawamatsu,Chapter 920; Episode 910[1],Kozuki Family;[1] Nine Red Scabbards[2],Retainer of the Kozuki Family; Samurai;[1] Sumo Wrestler;[3] Highway Robber (former),Alive,June 14th[6],,,Wano Country,,41[7],"271 cm (8'11"")[8]",F[7],,,,Grand Line (Wano Country),"Gyukimaru (牛鬼丸, Gyūkimaru?)[4]",,,,,,,,,,,,,,,,,,,,
Kaya,カヤ,Kaya,Kaya,Chapter 23; Episode 9[1],,Medical student,Alive,August 24th[2],,,Syrup Village[1],,17 (debut)19 (after timeskip)[3],"169 cm (5'6"")[3]",F[3],,,,,,,,,,,,,,,,,,,,,,,,,
Kazekage,風影,Kazekage,Kazekage,Chapter 931; Episode 925[1],Beasts Pirates;[2] Orochi Oniwabanshu (former)[1],Ninja; Pirate,Alive,February 28th[3],,,"Flower Capital, Wano Country",,43[3],"192 cm (6'3"")[4]",F[3],,,,Wano Country[3],,,,,,,,,,,,,,,,,,,,,
Kazenbo,火前坊,Kazenbō,Kazenbo,Chapter 1030[1],Kurozumi Family,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kebi,ケビ,Kebi,Kebi,Chapter 164; Episode 100,Arabasta Kingdom; Suna Suna Clan (formerly); Rebel Army (formerly),Rebel (former),Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kechatch,ケチャッチ,Kechatchi,Kechatch,Chapter 553[1],Whitebeard Pirates[1],Pirate; Captain[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith,キース,Kīsu,N/A,Chapter 809; Episode 759[1],Guardians[1],,Alive,,,,Mokomo Dukedom (Whale Forest)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Funk,ケリー・ファンク,Kerī Fanku,Kelly Funk,Chapter 704; Episode 633[1],Mogaro Kingdom[2],Assassin[1],Alive,December 9th[4],,,,,36[3],"168 cm (5'6"")[3]",X[3],,,,Grand Line (Mogaro Kingdom)[3],,,,,,,,,,,,,,,,,,,,,
Kibagaeru,キバガエル,Kibagaeru,N/A,Chapter 306; Episode 208,Foxy Pirates; Fanged Toad Pirates (former),Pirate; Captain (former),Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kibin,キビン,Kibin,N/A,"Chapter 594, Episode 475[1]",Marines,Marine Commodore,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiev,キエフ,Kiefu,N/A,Chapter 325; Episode 231[1],Franky Family; Galley-La Company[2],"Dismantler, Bounty Hunter",Alive,,,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kikipatsu,キキパツ,Kikipatsu,N/A,Chapter 925; Episode 917[1],Blackbeard Pirates,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiku,キク,Kiku,Kiku,N/A,Kuja Tribe[1],Warrior,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kikunojo,菊の丞,Kikunojō,Kikunojo,Chapter 913; Episode 899[1],Kozuki Family;[2] Nine Red Scabbards[3],Samurai; Retainer of the Kozuki Family;[2] Tea House Poster Girl[1],Alive,September 9th[6],,,Wano Country (Ringo ‡[4]; Kuri[1]),,22[6],"287 cm (9'5"")[7]",XF[6],,,,Grand Line (Wano Country),"O-Kiku (お菊, O-Kiku?, Viz: ""Okiku"")[1]",,,,,,,,,,,,,,,,,,,,
Kikyo,キキョウ,Kikyō,Kikyo,Chapter 514; Episode 408[1],Kuja[1],Kuja warrior[1],Alive,July 27th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killer,キラー,Kirā,Killer,Chapter 498; Episode 392[1],Kid Pirates;[2] Kurozumi Orochi (defected)[3],Pirate;[2] Combatant; Assassin (former)[3],Alive,February 2nd[7][8],,,,,25 (debut)[5]27 (after timeskip)[6],"195 cm (6'5½"") (debut, after timeskip)[5]",X[9],,,,South Blue[2],"""Kamazo the Manslayer"" (人斬り鎌ぞう, Hitokiri Kamazō?, Viz: ""Hitokiri Kamazo"")[4]",,,,,,,,,,,,,,,,,,,,
Kimel,キメル,Kimeru,Kimel,"Chapter 552, Episode 461[1]",Spade Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kin'emon,錦えもん,Kin'emon,Kin'emon,Chapter 656; Episode 580[1],Kozuki Family;[2] Ninja-Pirate-Mink-Samurai Alliance;[3] Nine Red Scabbards[4],Samurai;[5] Retainer of the Kozuki Family;[2] Captain of the Nine Red Scabbards[4]; Thief (former) [6],Alive,January 29th[8],,,Wano Country (Kuri)[5],,36[9] (born 56 years ago),"295 cm (9'8"")[9]",X[9],,,,Grand Line (Wano Country)[9],,,,,,,,,,,,,,,,,,,,,
Kinbo,キン坊,Kinbō,N/A,Chapter 917; Episode 904[1],,,Alive,,,,Wano Country (Okobore Town),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinderella,キンデレラ,Kinderera,Kinderella,Chapter 261; Episode 778[1],Evil Black Drum Kingdom[2],Miss Universe; Queen,Alive,January 20th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King,キング,Kingu,King,Chapter 920 (silhouette);[1] Chapter 925; Episode 918[2],Beasts Pirates[2],All-Star[2],Alive,December 1st[4],,,Wano Country[2],,47[4],"613 cm (20'1"")[4]",S[4],,,,Grand Line[4],,,,,,,,,,,,,,,,,,,,,
Kinga,キンガ,Kinga,N/A,Chapter 570; Episode 467[1],Whitebeard Pirates[1],Pirate; Captain[1],Alive,,,,,,Over 30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingbaum,キングバーム,Kingubāmu,Kingbaum,Chapter 836; Episode 797[1],Big Mom Pirates; Charlotte Family[1],Master of the Seducing Woods,Unknown,July 13th[3],,,Whole Cake Island (Seducing Woods)[1],,,"2340 cm (76'9"")[2]",,,,,Grand Line (Totto Land)[2],,,,,,,,,,,,,,,,,,,,,
Kingdew,キングデュー,Kingudyū,Kingdew,Chapter 562; Episode 461[1],Whitebeard Pirates[1],11th Division Commander; Pirate[1],Alive,November 13th[3],,,,,Over 30[2],,,,,,Grand Line[4],,,,,,,,,,,,,,,,,,,,,
Kinoko,キノコ,Kinoko,Mushroom[1],Chapter 536; Episode 437[2],Buggy Pirates[3],"Prisoner (Former), Pirate[3]",Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirinkodanuki,キリン子ダヌキ,Kirinkodanuki,N/A,Chapter 22; Episode 18[1],Animals of the Island of Rare Animals,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirintauros,キリンタウロス,Kirintaurosu,Kirintauros,Chapter 658; Episode 582[1],Caesar Clown; Centaur Patrol Unit[1],,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisegawa,きせ川,Kisegawa,Kisegawa,Chapter 929; Episode 922[1],,Geisha[1],Alive,,,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitton,キットン,Kitton,Kitton,Chapter 523; Episode 418[1],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koala,コアラ,Koara,Koala,Chapter 622; Episode 541[1],Revolutionary Army;[2]Sun Pirates (former);[1]Slavery (former)[1],Revolutionary Army Officer;[3]Assistant Fish-Man Karate Instructor;[2]Slave (former)[1],Alive,October 25th[4],,,Baltigo (former);Foolshout Island (former);Mary Geoise (former),,11 (debut);[2]23 (present day)[5],"160 cm (5'3"")[5]",F[6],,,,,,,,,,,,,,,,,,,,,,,,,
Kobe,幸べエ,Kōbē,Kobei,Chapter 929; Episode 922[1],,Landlord[1],Alive,,,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koby,コビー,Kobī,"Koby (VIZ, Odex),Coby (Funimation, 4Kids)",Chapter 2; Episode 1[1],"Marines (SWORD), Marine 153rd Branch (former);[2] Alvida Pirates (defected)[1]","Marine Captain;[3][4] Master Chief Petty Officer (promoted),[5] Chore Boy (promoted);[6] Pirate Ship Caretaker (former)[1]",Unknown,May 13th[8],,,Shells Town (former); Goat Island (former),,16 (debut)18 (after timeskip)[7],"167 cm (5'6"")[7]",F[7],,,,East Blue[7],,,,,,,,,,,,,,,,,,,,,
Koda,コーダ,Kōda,N/A,"Chapter 285 cover[1], Episode 381 (newspaper)[2]",Marines[1],Chef,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koito,小糸,Koito,N/A,Chapter 930; Episode 923[1],,,Alive,,,,Wano Country (Ebisu Town)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kojuro,コ十郎,Kojūrō,N/A,Chapter 926; Episode 918[1],Kozuki Family;[1] Ninja-Pirate-Mink-Samurai Alliance[2],Samurai[3],Alive,,,,Wano Country (Flower Capital)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kokoro,ココロ,Kokoro,Kokoro,Chapter 322; Episode 229[1],Tom's Workers[2],"Stationmaster;[1] ""Lovely"" secretary of Tom (former)[2]",Alive,October 5th[4],,,Water 7; Fish-Man Island (former),,70 (debut)72 (after timeskip)[3],"168 cm (5'6"")[3]",S[3],,,,Grand Line (Fish-Man Island)[3],,,,,,,,,,,,,,,,,,,,,
Komachiyo,狛ちよ,Komachiyo,Komachiyo,Chapter 910; Episode 892[1],Tama,,Alive,,,,"Amigasa Village, Kuri, Wano Country[2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komane,コマネ,Komane,Comane,"Chapter 903, Episode 879[1]",Lulusia Kingdom[2],Princess[2] (former)[3],Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konbu,コンブ,Konbu,Kombu (Viz);Konbu (Funimation subs),Chapter 657; Episode 582[1],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kong,コング,Kongu,Kong,Chapter 0; Episode 0[1],World Government; Marines (former),Commander-in-Chief; Fleet Admiral (former),Alive,May 9th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kop,コップ,Koppu,Kopp[1],Chapter 325; Episode 231[2],Franky Family,"Dismantler, Bounty Hunter",Alive,,,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotatsu,コタツ,Kotatsu,Kotatsu,Chapter 552; Episode 461[1],Spade Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotetsu,古徹,Kotetsu,Kotetsu,N/A,,Swordsmith[1],Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koushirou,コウシロウ,Kōshirō,Koshiro,Chapter 5; Episode 19,,Dojo Master[1],Alive,May 4th[2],,,,,40 (debut)49 (present day debut)51 (after timeskip)[2],"184 cm (6'0½"")[2]",S[2],,,,East Blue[2],,,,,,,,,,,,,,,,,,,,,
Koyama,小山,Koyama,Koyama,Chapter 960; Episode 960[2],Kozuki Family[1],,Unknown,,,,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koza,コーザ,Kōza,Koza,Chapter 163; Episode 93[1],Arabasta Kingdom;Suna Suna Clan (former);Rebel Army (former),Environmental Minister;[2]Rebel Army leader (former);[3]Suna Suna Clan leader (former);[4],Alive,May 26[5],,,"Yuba, Arabasta; Katorea, Arabasta (Former)",,20 (debut)22 (after timeskip)[6],"177 cm (5'10"")[6]",X[6],,,,Grand Line (Arabasta Kingdom)[6],,,,,,,,,,,,,,,,,,,,,
Koze and Packy,コゼ & パッキー,Koze to Pakkī,N/A,Chapter 96; Episode 48[1],Yes Pirates,Pirates,Alive,May 27th (Koze)December 9th (Packy)[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kozuki Hiyori,光月日和,Kōzuki Hiyori,Kozuki Hiyori,Chapter 909; Episode 892[1],Kozuki Family,Oiran[2],Alive,December 23rd[6],,,Wano Country (Kuri; Flower Capital),,26[5],"170 cm (5'7"")[6]",XF[6],,,,Grand Line (Moby Dick)[3],"""Komurasaki"" (小紫, Komurasaki?)[4]",,,,,,,,,,,,,,,,,,,,
Kozuki Momonosuke,光月モモの助,Kōzuki Momonosuke,Kozuki Momonosuke (Viz); Kouzuki Momonosuke (WT100)[1],Chapter 684; Episode 609[2],Kozuki Family;[3] Ninja-Pirate-Mink-Samurai Alliance (disbanded),Shogun[4],Alive,October 7th[6],,,Wano Country (Kuri),,8[5],"110 cm (3'7"") (child body)[6]",X[6],,,,Grand Line (Moby Dick)[7],,,,,,,,,,,,,,,,,,,,,
Kozuki Oden,光月おでん,Kōzuki Oden,Kozuki Oden,Chapter 920; Episode 910[1],Kozuki Family;[2] Roger Pirates (former); Whitebeard Pirates (former)[3],Samurai; Daimyo;[2] Pirate[3] (former); 2nd Division Commander (former),Deceased,February 22nd[8],,,Wano Country (Kuri); (Flower Capital) (former),,,"382 cm (12'6"")[8]",F[9],,,,Grand Line (Wano Country),,,,,,,,,39[6][7],,,,,,,,,,,,
Kozuki Sukiyaki,光月スキヤキ,Kōzuki Sukiyaki,Kozuki Sukiyaki,Chapter 911; Episode 894[1],Kozuki Family[3],Swordsmith;[2] Shogun (former)[3],Alive,May 19th[4],,,"Wano Country (Amigasa Village, formerly Flower Capital)",,81[4],"214 cm (7'0"")[4]",F[4],,,,,"""Tenguyama Hitetsu"" (天狗山飛徹, Tenguyama Hitetsu?)",,,,,,,,,,,,,,,,,,,,
Kozuki Toki,光月トキ,Kōzuki Toki,Kozuki Toki,Chapter 919; Episode 893,Kozuki Family;[1] Amatsuki Family; Whitebeard Pirates (former);[2] Roger Pirates (former),,Deceased,January 19th[5],,,Wano Country (Kuri)[1],,,"190 cm (6'3"")[5]",X[5],,,,,,,,,,,,,36[3][4],,,,,,,,,,,,
Krieg,クリーク,Kurīku,Krieg,Chapter 45; Episode 21[1],Krieg Pirates[2],Pirate; Captain/Admiral[1],Alive,September 19th[7],,,,,42 (debut)44 (after timeskip)[6],"243 cm (8'0"")[8]",XF[8],,,,,,,,,,,,,,,,,,,,,,,,,
Kuina,くいな,Kuina,Kuina,Chapter 5; Episode 2[1],,Trainee Swordsman[1],Deceased,September 17th[4],,,Shimotsuki Village,,,"150 cm (4'11"")[2]",S[2],,,,East Blue (Shimotsuki Village)[2],,,,,,,,,11[2][3],,,,,,,,,,,,
Kukai,クーカイ,Kūkai,Kukai,Chapter 552;Episode 461[1],Spade Pirates[1][2],Pirate,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumadori,クマドリ,Kumadori,Kumadori,Chapter 375; Episode 264[1],CP9[2] (former),Cipher Pol Agent[2] (former),Alive,February 20th[3],,,,,34 (debut)[4]36 (after timeskip)[5],"338 cm  (11'1"")[6]",XF[6],,,,South Blue[6],,,,,,,,,,,,,,,,,,,,,
Kumadori Yamanbako,クマドリヤマンバ子,Kumadori Yamanba-ko,Kumadori Yamanbako,SBS Volume 44[1],Kumadori,Assassin (former),Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumae,くまエー,Kumaē,Kuma-A,SBS Volume 66[1],,Pet[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumagoro,クマ五郎,Kumagorō,Kumagoro,Chapter 929; Episode 922[1],,,Alive,,,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumashi,クマシー,Kumashī,Kumacy,Chapter 449; Episode 343[1],Thriller Bark Pirates (Perona)[2],"Perona's servant,[2] Wild Zombie Commander-in-Chief[3]",Deceased,September 4th[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuni,クニさん,Kuni-san,Kuni,Chapter 927; Episode 919[1],Kyoshiro Family[1],,Alive,,,,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunyun,九忍（クニュン）,Kunyun,Kunyun,Chapter 1020[1],Beasts Pirates (Numbers),,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kureha,くれは,Kureha,Kureha,Chapter 134; Episode 80[1],Sakura Kingdom; Isshi-100,Head-Doctor of the Sakura Kingdom; Leader of the Isshi-100,Alive,September 8th[5],,,Drum Island,,139 (debut)[3]141 (after timeskip)[4],"188 cm (6'2"")[5]",S[5],,,,Grand Line (Drum Kingdom)[5],"""Doctorine"" (ドクトリーヌ, Dokutorīnu?)",,,,,,,,,,,,,,,,,,,,
Kuro,クロ,Kuro,Kuro,Chapter 23; Episode 9[1],Black Cat Pirates,Pirate; Captain (former); Butler (former),Alive,April 22nd[3],,,Syrup Village (former),,33 (debut)35 (after timeskip)[2],207 cm (6’9”)[4],X[4],,,,,"""Klahadore"" (クラハドール, Kurahadōru?)",,,,,,,,,,,,,,,,,,,,
Kurokoma,黒駒,Kurokoma,Kurokoma,Chapter 960 (mentioned)[1],Kurokoma Family‎,,Unknown,,,,Flower Capital; Wano Country[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuromarimo,クロマーリモ,Kuromārimo,Kuromarimo,Chapter 131; Episode 79[1],"Bliking Pirates (disbanded), Drum Kingdom (former)[2]",Magistrate; Pirate[2],Alive,January 26th[3],,,,,28 (debut)30 (after timeskip)[3],"186 cm (6'1"")[3]",F[3],,,,Grand Line (Drum Kingdom)[3],,,,,,,,,,,,,,,,,,,,,
Kuroobi,クロオビ,Kuro'obi,Kuroobi,Chapter 69; Episode 31[1],Arlong Pirates;[2] Sun Pirates (former)[3],Pirate; Pirate Officer[2],Alive,October 25th[4],,,,,36 (debut)38 (after timeskip)[5],"252 cm (8'3"")[5]",S[5],,,,,,,,,,,,,,,,,,,,,,,,,
Kurosawa,クロ沢,Kurosawa,N/A,Chapter 920; Episode 911[1],Kozuki Family[1]; Ninja-Pirate-Mink-Samurai Alliance,Samurai[2],Alive,,,,Wano Country[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurotsuru,クロツル,Kurotsuru,N/A,Chapter 276's cover,,Doctor,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurozumi Higurashi,黒炭ひぐらし,Kurozumi Higurashi,Kurozumi Higurashi,Chapter 965; Episode 965[1],Wano Country (Kurozumi Family)[1],,Deceased,,,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurozumi Kanjuro,黒炭カン十郎,Kurozumi Kanjūrō,Kurozumi Kanjuro,Chapter 700; Episode 629[1],Kurozumi Family;[2] Kozuki Family (undercover);[3] Nine Red Scabbards (undercover);[4] Ninja-Pirate-Mink-Samurai Alliance (undercover); Beasts Pirates (former),Theatre Performer (former);[2] Spy; Samurai; Retainer of the Kozuki Family (undercover)[3],Deceased,July 21st[9],,,Wano Country (Kuri)[5]Wano Country (Kibi) (Former)[6],,,"347 cm (11'5"")[5]",X[5],,,,Grand Line (Wano Country),,,,,,,,,34[5][8],,,,,,,,,,,,
Kurozumi Orochi,黒炭オロチ,Kurozumi Orochi,Kurozumi Orochi,Chapter 927; Episode 921[1],Wano Country (Kurozumi Family);[2][3]Beasts Pirates (former)[2],Shogun of Wano Country (former)[4],Deceased,September 23rd[5],,,Wano Country (Flower Capital),,,"350 cm (11'6"")[5]",XF[5],,,,Grand Line (Wano Country)[5],,,,,,,,,54[5],,,,,,,,,,,,
Kurozumi Semimaru,黒炭せみ丸,Kurozumi Semimaru,Kurozumi Semimaru,Chapter 965; Episode 965[1],Wano Country (Kurozumi Family)[1],Biwa hōshi,Deceased,,,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuzan,クザン,Kuzan,Kuzan,Chapter 303; Episode 225[1],Blackbeard Pirates;[2] Marines[1] (resigned)[3],Admiral[1] (former);[3] Vice Admiral (former)[4],Alive,September 21st[6],,,,,47 (debut)49 (after timeskip)[5],"298 cm (9'9"")[7]",F[7],,,,South Blue[7],"Aokiji (青雉, Aokiji?, literally meaning ""Blue Pheasant"")[1]",,,,,,,,,,,,,,,,,,,,
Kyros,キュロス,Kyurosu,Kyros,Chapter 702; Episode 631[1],Corrida Colosseum (former); Riku Royal Army,Gladiator (former); Riku Royal Army Captain (former),Alive,September 22nd[4],,,,,44 (chronologically)[3]34 (biologically),"298 cm (9'9"")[3]",S[3],,,,Grand Line (Dressrosa)[3],"""Thunder Soldier of Rage"" (怒りの雷兵, Ikari no Kaminari Hei?, Viz: ""The Angry Lightning Soldier"");[2], ""The Invincible Gladiator""",,,,,,,,,,,,,,,,,,,,
Kyuin,キュイーン,Kyuīn,Kuween,Chapter 755; Episode 692[1],Donquixote Pirates (former),Pirate; SMILE Factory Manager (former),Alive,May 30th[2],,,,,20[1],,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyuji,キュージ,Kyūji,N/A,"Chapter 302 cover[1], Episode 381 (newspaper)[2]",Marines[1],Chef[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyukyu,キューキュー,Kyūkyū,Firstaid[1],"Chapter 334, Episode 237",,Doctor,Alive,,,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboon,ラブーン,Rabūn,Laboon;Raboon (Odex),Chapter 102; Episode 62[1],Rumbar Pirates (former); Crocus[2],,Alive,September 16th[3],,,,,51 (debut)53 (after timeskip)[2],"400 m (1312'4"")[4]",F[5],,,,,,,,,,,,,,,,,,,,,,,,,
Lacroix,ラクロワ,Rakurowa,Lacroix,Chapter 550; Episode 459,"Marines, Giant Squad",Vice Admiral,Alive,June 8th[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacuba,ラキューバ,Rakyūba,Lacuba,Chapter 501; Episode 395[1],N/A,Pirate; Captain (former); Slave[1],Alive,May 31st[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Tree,レディツリー,Redi Tsurī,Lady Tree,Chapter 873; Episode 844[1],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laffitte,ラフィット,Rafitto,"Lafitte (Viz, uncut dub);Raffit (edited dub)",Chapter 234; Episode 151[1],Blackbeard Pirates; Sheriff (former)[2],Pirate; Navigator;[3] Sheriff (former);[2] one of the Ten Titanic Captains (Captain of the Fifth Ship); Chief of Staff[citation needed],Alive,March 13th[6],,,,,39 (debut)41 (after timeskip)[5],"340 cm (11'2"")[5]",X[5],,,,West Blue[5],,,,,,,,,,,,,,,,,,,,,
Lao G,ラオG（ジー）,Rao Jī,Lao G,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Officer[1],Alive,October 7th[3],,,Spider Miles (former); Dressrosa (former),,70[2],"157 cm (5'2"")[4]",F[4],,,,North Blue[4],,,,,,,,,,,,,,,,,,,,,
Laskey,ラスキー,Rasukī,Lasky[1],Chapter 392; Episode 276[2],CP9 (former),Cipher Pol Agent,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassoo,ラッスー,Rassū,Lassoo,Chapter 160; Episode 103[1],New Spiders Cafe; Baroque Works[1] (former),Cafe Mascot;[2] Pet[1],Alive,January 4th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemoncheese,レモンチーズ,Remonchīzu,N/A,Chapter 906; Episode 884[1],Levely[2],Queen[2],Alive,,,,Bestland Kingdom[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo,レオ,Reo,Leo,Chapter 710; Episode 640[1],Tontatta Kingdom;[2] Tontatta Pirates; Straw Hat Grand Fleet[3],Captain of the Fifth Ship of the Straw Hat Grand Fleet; Captain of the Tontatta Pirates;[4] Pirate[5],Alive,July 24th[8],,,,,25[7],"23 cm (9"")[6]",S[6],,,,Grand Line (Green Bit)[6],,,,,,,,,,,,,,,,,,,,,
Leonero,レオネロ,Reonero,Leonero,Chapter 552; Episode 461[1],Spade Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily,リリー,Rirī,Lily,Chapter 223; Episode 146[1],Bellamy Pirates[1],Pirate[1],Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limejuice,ライムジュース,Raimujūsu,N/A,Chapter 1; Episode 4[1],Red Hair Pirates[1],Pirate; Officer[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindbergh,リンドバーグ,Rindobāgu,Lindbergh,Chapter 904; Episode 880[1],Revolutionary Army (South Army)[2],South Army Commander of the Revolutionary Army[2],Alive,May 21st[3],,,,,37[3],"149 cm (4'11"")[3]",F[3],,,,,,,,,,,,,,,,,,,,,,,,,
Lines,ラインズ,Rainzu,N/A,Chapter 44; Episode 21[1],Marines,Marine Seaman First Class,Unknown,December 27th[2],,,,,,,,,,,East Blue[2],,,,,,,,,,,,,,,,,,,,,
Lionbuta,ライオンブタ,Raionbuta,N/A,Chapter 22; Episode 18[1],Animals of the Island of Rare Animals,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
